Id,Label,latitude,longitude,Group
Wartenberg Sellmayerhof,Wartenberg Sellmayerhof,48.382737,11.957708,Ost
Sättelstädt,Sättelstädt,50.943022,10.481468,Ost
Felber Tauern,Felber Tauern,47.157657,12.496512,Ost
Erding-Pretzen,Erding-Pretzen,48.2792,11.912734,Ost
Pfaffenhofen-Trappeleacker,Pfaffenhofen-Trappeleacker,47.277648,11.075017,Ost
Otzing,Otzing,48.761681,12.809619,Ost
Haunersdorf,Haunersdorf,48.607053,12.718682,Ost
Langenisarhofen,Langenisarhofen,48.737628,12.962948,Ost
Egglfing,Egglfing,48.32667,13.314929,Ost
Natternberg,Natternberg,48.822623,12.913328,Ost
Plattling,Plattling,48.776685,12.873366,Ost
Třísov,Třísov,48.88266,14.346529,Ost
Wartenberg Amerhof,Wartenberg Amerhof,48.404078,11.987629,Ost
Teisendorf,Teisendorf,47.849038,12.821836,Ost
Neuses an der Regnitz,Neuses an der Regnitz,49.772542,11.030035,Ost
Kremsmünster,Kremsmünster,48.053365,14.128766,Ost
Kürnbergerwald,Kürnbergerwald,48.302024,14.21834,Ost
Mainburg,Mainburg,48.64105,11.78643,Ost
Gilsenöd,Gilsenöd,48.751821,12.991048,Ost
Dorfen Niederham,Dorfen Niederham,48.274277,12.136902,Ost
Salzburg,Salzburg,47.798135,13.046481,Ost
Manching,Manching,48.717136,11.494068,Ost
Loham,Loham,48.84229,12.79934,Ost
Pankofen,Pankofen,48.79205,12.896233,Ost
Tabertshausen,Tabertshausen,48.73315,12.880492,Ost
Cífer-Pác,Cífer-Pác,48.304114,17.519763,Ost
Linz Freinberg,Linz Freinberg,48.303526,14.264106,Ost
Berglern Glaslern,Berglern Glaslern,48.375428,11.931994,Ost
Liefering,Liefering,47.826057,13.009254,Ost
Salzburg Stadt,Salzburg Stadt,47.828709,13.025384,Ost
Aholming,Aholming,48.735073,12.911918,Ost
Linz-Neubau,Linz-Neubau,48.219336,14.192767,Ost
Langenpreising Zustorf,Langenpreising Zustorf,48.415444,11.938913,Ost
Ruckasing,Ruckasing,48.712555,13.033152,Ost
Fischböckau,Fischböckau,47.998446,13.941047,Ost
Bruck an der Großglocknerstraße,Bruck an der Großglocknerstraße,47.286695,12.824131,Ost
Ostenhofen,Ostenhofen,48.701963,13.020143,Ost
Georgenberg,Georgenberg,49.703079,12.420661,Ost
Berching-Pollanten,Berching-Pollanten,49.144764,11.458646,Ost
Telfs Schlossbichl,Telfs Schlossbichl,47.307065,11.068169,Ost
Oberpöring,Oberpöring,48.702369,12.824768,Ost
Stradonice Oppidum,Stradonice Oppidum,49.992573,14.006197,Ost
Kleßheim,Kleßheim,47.823249,12.991535,Ost
Alttiefenweg,Alttiefenweg,48.725797,12.864973,Ost
Titelberg,Titelberg,49.53871,5.859465,Ost
Karlstein,Karlstein,47.722312,12.850755,Ost
Moos,Moos,48.752054,12.962472,Ost
Thundorf,Thundorf,48.758047,13.016182,Ost
Balsthal,Balsthal,47.314037,7.694776,West
Eppenberg-Wöschnau,Eppenberg-Wöschnau,47.383092,8.02446,West
Bad Zurzach,Bad Zurzach,47.589838,8.285842,West
Baden,Baden,47.473683,8.308682,West
Vallon,Vallon,46.882477,6.951657,West
Bern,Bern,46.948474,7.452175,West
Diessenhofen,Diessenhofen,47.687532,8.749267,West
Avenches,Avenches,46.879575,7.040941,West
Kirchberg,Kirchberg,47.085173,7.581513,West
Altenburg-Rheinau,Altenburg-Rheinau,47.663644,8.596879,West
Biel,Biel,47.140208,7.243903,West
Mont Beuvray,Mont Beuvray,46.924459,4.039623,West
Kyburg,Kyburg,47.457086,8.744344,West
Brugg,Brugg,47.482463,8.208566,West
Roggwil,Roggwil,47.241147,7.823077,West
Biberist,Biberist,47.181061,7.562609,West
Basel,Basel,47.558108,7.587826,West
Geneva,Geneva,46.201756,6.146601,West
Windisch,Windisch,47.479347,8.217992,West
Courroux,Courroux,47.359922,7.378292,West
Balm bei Lottstetten,Balm bei Lottstetten,47.627516,8.573616,West
Merklingen,Merklingen,48.510106,9.755774,Ost
Baar,Baar,47.195198,8.525398,West
Niederbipp,Niederbipp,47.268494,7.693334,West
Rheinau,Rheinau,47.643925,8.601757,West
